Brand,Model,Year,Miles,Price
Ford,F-150,2015,38622,37499
Ford,F-150,2021,3729,41590
Ford,F-150,2016,69730,37958
Ford,F-150,2013,116165,19995
Ford,F-150,2010,157719,13495
Ford,F-150,2018,43000,48472
Ford,F-150,2018,34186,37155
Ford,F-150,2014,111085,25395
Ford,F-150,2018,45140,21949
Ford,F-150,2019,63633,32000
Ford,F-150,2020,60817,46990
Ford,F-150,2018,13588,33355
Ford,F-150,2017,75684,32998
Ford,F-150,2020,57018,47450
Ford,F-150,2019,56699,33695
Ford,F-150,2018,86618,21750
Ford,F-150,2018,44434,35081
Ford,F-150,2018,23076,35080
Ford,F-150,2017,49615,39777
Ford,F-150,2008,114646,10950
Ford,F-150,2015,142070,24795
Ford,F-150,2019,42257,38999
Ford,F-150,2020,18793,62988
Ford,F-150,1998,169646,5999
Ford,F-150,2019,30624,41492
Ford,F-150,2018,48650,44895
Ford,F-150,2018,65908,36110
Ford,F-150,2017,52636,27900
Ford,F-150,2019,30453,40914
Ford,F-150,2012,168735,11950
Ford,F-150,2014,43469,29995
Ford,F-150,2018,88365,23995
Ford,F-150,2020,22500,39999
Chevrolet,Silverado 1500,2017,37144,34998
Chevrolet,Silverado 1500,2009,41071,22203
Chevrolet,Silverado 1500,2018,95725,25888
Chevrolet,Silverado 1500,2019,28057,40998
Chevrolet,Silverado 1500,2019,29908,29998
Chevrolet,Silverado 1500,2020,41240,42388
Chevrolet,Silverado 1500,2018,66003,39995
Chevrolet,Silverado 1500,2005,113700,6000
Chevrolet,Silverado 1500,2017,73256,24912
Chevrolet,Silverado 1500,2014,240683,13950
Chevrolet,Silverado 1500,2019,32266,39476
Chevrolet,Silverado 1500,2019,47504,42000
Chevrolet,Silverado 1500,2018,38628,38998
Chevrolet,Silverado 1500,2017,90726,29999
Chevrolet,Silverado 1500,2016,43194,31495
Chevrolet,Silverado 1500,2017,85681,18795
Chevrolet,Silverado 1500,2018,34999,36979
Chevrolet,Silverado 1500,2018,77070,36998
Chevrolet,Silverado 1500,2015,87103,31500
Chevrolet,Silverado 1500,2020,11575,48998
Chevrolet,Silverado 1500,2021,12656,60477
Chevrolet,Silverado 1500,2018,52447,33998
Chevrolet,Silverado 1500,2017,35158,32998
Chevrolet,Silverado 1500,2020,91890,26500
Chevrolet,Silverado 1500,2013,99998,37945
Chevrolet,Silverado 1500,2018,71051,39998
